session_action_name,total_count,max,mean,min,percentile_10.0,percentile_20.0,percentile_30.0,percentile_40.0,percentile_50.0,percentile_60.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,percentile_99.99,percentile_99.999
38d7b01c-e246-4fa1-94df-8ae819fa15bc LoadTestScenario root,1000,14663,10584,2502,8003,8003,8003,8003,8003,12671,13423,13671,13919,14167,14423,14623,14663,14663,14663
38d7b01c-e246-4fa1-94df-8ae819fa15bc LoadTestScenario get(http://localhost:8599/),2,4999,3751,2502,0,0,2503,2503,2503,2503,4999,4999,4999,4999,4999,4999,4999,4999,4999
